customer_id,signup_date,city,age,gender,acquisition_channel
1,2024-06-21,Delhi,46,M,Organic
2,2024-02-08,Hyderabad,38,M,Organic
3,2025-03-03,Chennai,28,M,Paid Ads
4,2025-01-15,Delhi,57,M,Email
5,2024-12-12,Jaipur,19,F,Email
6,2024-08-04,Mumbai,19,M,Organic
7,2024-06-08,Delhi,29,M,Referral
8,2026-04-27,Chennai,42,M,Organic
9,2024-05-15,Patna,59,M,Organic
10,2025-10-17,Patna,32,F,Paid Ads
11,2024-02-19,Chennai,61,F,Paid Ads
12,2024-02-16,Jaipur,20,F,Social Media
13,2024-05-25,Mumbai,26,M,Organic
14,2024-12-05,Kolkata,31,F,Email
15,2024-12-27,Hyderabad,19,M,Referral
16,2026-02-24,Chennai,24,F,Referral
17,2024-02-11,Delhi,52,M,Social Media
18,2026-05-21,Kolkata,57,M,Email
19,2024-11-04,Pune,59,F,Referral
20,2026-04-26,Jaipur,35,F,Email
21,2025-10-13,Mumbai,53,F,Referral
22,2024-12-08,Patna,25,M,Referral
23,2025-11-28,Kolkata,57,M,Email
24,2025-03-08,Patna,64,F,Email
25,2024-01-11,Jaipur,62,F,Organic
26,2024-09-05,Jaipur,18,M,Organic
27,2025-10-18,Delhi,18,M,Organic
28,2025-06-12,Chennai,28,F,Organic
29,2025-03-07,Delhi,52,M,Email
30,2024-08-29,Delhi,56,F,Referral
31,2024-11-30,Hyderabad,26,F,Referral
32,2025-06-06,Pune,40,M,Referral
33,2024-06-07,Pune,61,F,Referral
34,2024-05-24,Chennai,18,F,Paid Ads
35,2025-08-13,Delhi,20,M,Email
36,2024-05-30,Patna,31,M,Paid Ads
37,2025-07-11,Bangalore,32,F,Organic
38,2025-06-18,Kolkata,49,F,Referral
39,2025-02-14,Patna,49,M,Referral
40,2024-03-08,Pune,56,M,Paid Ads
41,2025-12-14,Chennai,53,M,Social Media
42,2026-04-13,Pune,39,F,Social Media
43,2024-07-12,Hyderabad,23,M,Paid Ads
44,2025-08-11,Chennai,37,F,Social Media
45,2024-05-02,Chennai,45,F,Paid Ads
46,2026-05-07,Kolkata,18,F,Organic
47,2025-03-31,Bangalore,30,F,Social Media
48,2025-07-15,Bangalore,25,M,Paid Ads
49,2024-10-25,Patna,50,F,Organic
50,2024-04-18,Jaipur,32,F,Organic
51,2024-03-12,Jaipur,41,F,Email
52,2024-12-20,Pune,29,M,Organic
53,2025-03-25,Bangalore,54,F,Organic
54,2024-05-03,Delhi,19,M,Paid Ads
55,2024-12-27,Delhi,54,M,Paid Ads
56,2024-06-05,Bangalore,19,F,Paid Ads
57,2025-08-13,Jaipur,23,M,Organic
58,2025-03-07,Kolkata,28,F,Paid Ads
59,2025-12-05,Jaipur,55,F,Paid Ads
60,2025-07-20,Patna,23,F,Paid Ads
61,2024-09-09,Patna,33,M,Email
62,2025-07-29,Delhi,23,F,Referral
63,2025-07-05,Pune,53,M,Organic
64,2024-11-21,Hyderabad,36,F,Paid Ads
65,2025-02-18,Bangalore,58,F,Referral
66,2024-04-20,Mumbai,35,F,Email
67,2024-09-22,Patna,42,M,Organic
68,2026-04-09,Patna,59,M,Organic
69,2025-01-15,Hyderabad,43,M,Social Media
70,2024-09-10,Bangalore,19,F,Social Media
71,2025-12-19,Bangalore,22,M,Social Media
72,2025-08-12,Jaipur,26,F,Organic
73,2025-02-23,Ahmedabad,33,M,Social Media
74,2026-05-15,Delhi,50,F,Referral
75,2024-12-07,Hyderabad,25,M,Email
76,2025-05-18,Mumbai,52,M,Paid Ads
77,2024-03-27,Jaipur,42,M,Organic
78,2024-12-21,Delhi,35,F,Paid Ads
79,2024-02-19,Delhi,58,M,Organic
80,2025-05-05,Bangalore,31,F,Paid Ads
81,2025-09-15,Patna,25,M,Email
82,2025-02-19,Hyderabad,50,F,Paid Ads
83,2024-04-12,Chennai,39,M,Organic
84,2024-11-23,Hyderabad,55,F,Social Media
85,2025-05-03,Pune,25,F,Referral
86,2024-11-26,Patna,47,F,Referral
87,2026-02-14,Delhi,50,M,Organic
88,2025-09-06,Chennai,36,M,Referral
89,2025-12-13,Pune,34,M,Social Media
90,2024-08-09,Jaipur,63,M,Social Media
91,2025-02-15,Jaipur,58,M,Social Media
92,2024-08-04,Mumbai,63,M,Social Media
93,2025-01-18,Mumbai,50,M,Organic
94,2026-05-22,Delhi,49,M,Social Media
95,2026-04-17,Pune,35,M,Referral
96,2025-02-12,Patna,20,M,Referral
97,2025-10-27,Hyderabad,49,F,Referral
98,2025-09-12,Chennai,44,M,Organic
99,2025-07-16,Jaipur,57,F,Referral
100,2024-12-06,Chennai,56,F,Organic
101,2024-08-02,Kolkata,52,M,Organic
102,2026-03-02,Delhi,24,M,Paid Ads
103,2026-02-05,Kolkata,18,F,Organic
