order_item_id,order_id,category,quantity,item_price
1,1,Books,2,699.39
2,1,Fashion,1,667.38
3,2,Fashion,3,201.63
4,2,Home & Kitchen,1,178.98
5,3,Toys,1,725.51
6,3,Sports,2,670.91
7,3,Toys,3,835.92
8,4,Sports,2,665.01
9,4,Toys,1,605.59
10,5,Home & Kitchen,1,939.59
11,5,Fashion,1,722.6
12,6,Toys,1,1234.7
13,7,Electronics,3,1949.1
14,8,Books,3,343.93
15,8,Sports,2,529.16
16,8,Grocery,2,281.1
17,8,Grocery,3,487.3
18,9,Home & Kitchen,2,306.34
19,9,Toys,1,361.33
20,9,Books,2,494.86
21,10,Books,2,213.28
22,10,Books,2,353.04
23,10,Fashion,3,316.66
24,11,Grocery,1,896.5
25,11,Toys,2,511.84
26,12,Sports,1,423.66
27,12,Electronics,2,233.73
28,12,Electronics,2,387.33
29,12,Beauty,1,243.85
30,13,Electronics,2,482.63
31,13,Home & Kitchen,3,814.22
32,14,Fashion,3,344.67
33,14,Sports,1,417.06
34,14,Grocery,2,525.02
35,15,Home & Kitchen,3,1434.78
36,16,Grocery,3,342.51
37,16,Fashion,1,602.19
38,16,Beauty,2,571.03
39,17,Grocery,2,2367.88
40,18,Toys,1,449.71
41,18,Fashion,1,554.02
42,18,Books,2,602.57
43,18,Toys,3,377.82
44,19,Toys,2,583.82
45,19,Toys,2,377.67
46,19,Fashion,2,477.06
47,19,Fashion,2,477.34
48,20,Home & Kitchen,3,932.99
49,20,Fashion,3,509.03
50,21,Grocery,2,140.62
51,21,Grocery,1,249.43
52,21,Beauty,3,143.24
53,22,Grocery,3,518.53
54,22,Books,3,406.19
55,22,Fashion,2,224.17
56,23,Books,2,471.23
57,23,Books,2,266.94
58,23,Toys,1,272.84
59,23,Beauty,3,396.75
60,24,Toys,3,2634.12
61,25,Fashion,1,3132.14
62,26,Sports,3,1076.07
63,26,Toys,1,1988.88
64,27,Electronics,1,3548.6
65,28,Home & Kitchen,3,5347.08
66,29,Toys,2,964.94
67,29,Home & Kitchen,2,497.84
68,29,Beauty,2,707.42
69,29,Books,1,774.77
70,30,Electronics,1,1455.71
71,30,Grocery,1,990.28
72,30,Electronics,2,1441.96
73,31,Books,3,1398.08
74,31,Grocery,3,1804.82
75,32,Toys,2,814.47
76,32,Beauty,2,814.81
77,32,Electronics,2,827.02
78,32,Beauty,2,939.57
79,33,Electronics,3,1475.56
80,33,Grocery,1,1117.21
81,34,Sports,3,2425.12
82,35,Sports,3,635.1
83,35,Home & Kitchen,2,789.69
84,35,Fashion,3,960.06
85,36,Home & Kitchen,1,4327.9
86,37,Fashion,3,1857.78
87,37,Sports,2,2325.44
88,38,Grocery,2,1260.22
89,38,Fashion,2,1066.27
90,38,Sports,3,1344.03
91,39,Toys,2,1402.92
92,39,Grocery,2,889.36
93,39,Beauty,1,1349.79
94,39,Sports,3,1746.13
95,40,Home & Kitchen,3,598.36
96,40,Electronics,2,692.42
97,40,Fashion,1,770.87
98,40,Grocery,1,1451.65
99,41,Books,2,906.52
100,41,Sports,2,655.63
101,41,Home & Kitchen,1,886.73
102,41,Beauty,1,842.05
103,42,Books,1,4936.35
104,43,Grocery,3,1520.26
105,43,Toys,2,1207.33
106,44,Toys,1,819.17
107,44,Home & Kitchen,3,1217.3
108,44,Grocery,2,662.59
109,45,Books,3,2116.75
110,45,Grocery,3,1879.65
111,46,Electronics,3,621.09
112,46,Beauty,1,653.29
113,46,Fashion,1,992.16
114,47,Home & Kitchen,3,1076.59
115,47,Books,3,1055.09
116,47,Books,3,1425.95
117,47,Electronics,1,797.62
118,48,Home & Kitchen,3,797.15
119,48,Toys,2,1060.72
120,48,Home & Kitchen,1,865.8
121,48,Toys,2,533.27
122,49,Books,2,978.41
123,49,Fashion,2,854.96
124,49,Grocery,3,1107.37
125,50,Sports,1,953.37
126,50,Electronics,1,783.2
127,50,Toys,1,567.75
128,50,Home & Kitchen,3,787.03
129,51,Toys,3,1425.3
130,51,Fashion,2,1746.83
131,52,Electronics,2,1326.69
132,52,Beauty,1,1149.34
133,52,Beauty,2,945.66
134,53,Grocery,1,2520.96
135,54,Home & Kitchen,3,1780.25
136,55,Grocery,3,2924.78
137,56,Beauty,2,1277.98
138,56,Books,1,1079.86
139,57,Beauty,1,1503.27
140,57,Beauty,1,1304.98
141,57,Electronics,2,1497.3
142,58,Books,3,1094.95
143,58,Books,2,1252.95
144,58,Electronics,2,569.78
145,59,Sports,1,388.54
146,59,Sports,2,355.33
147,59,Fashion,2,422.08
148,59,Toys,2,290.14
149,60,Toys,2,1302.37
150,60,Grocery,2,1501.58
151,60,Grocery,2,783.5
152,61,Books,3,634.53
153,61,Books,1,972.94
154,61,Grocery,1,683.06
155,61,Books,1,836.17
156,62,Fashion,2,1204.01
157,62,Home & Kitchen,3,2047.02
158,63,Toys,3,758.18
159,63,Grocery,3,743.49
160,63,Books,1,1289.03
161,64,Home & Kitchen,2,585.61
162,64,Home & Kitchen,3,428.15
163,64,Grocery,1,310.77
164,64,Grocery,1,454.82
165,65,Sports,1,531.95
166,65,Grocery,1,390.54
167,65,Sports,3,764.91
168,65,Fashion,1,533.33
169,66,Fashion,1,787.01
170,66,Fashion,3,1326.9
171,67,Fashion,3,447.85
