customer_id,signup_date,city,age,gender,acquisition_channel,total_orders,total_spend,avg_order_value,last_order_date,first_order_date,discount_orders,recency_days,tenure_days,discount_rate,order_frequency,category_diversity,preferred_payment,churned
1,2024-06-21,Delhi,46,M,Organic,9.0,13538.99,1504.3322222222223,2025-06-13,2024-06-21,2.0,292.0,357.0,0.2222222222222222,0.7541899441340782,7.0,Card,1
2,2024-02-08,Hyderabad,38,M,Organic,1.0,834.28,834.28,2024-04-08,2024-04-08,1.0,723.0,0.0,1.0,30.0,2.0,Card,1
3,2025-03-03,Chennai,28,M,Paid Ads,1.0,1508.71,1508.71,2025-03-12,2025-03-12,0.0,385.0,0.0,0.0,30.0,2.0,UPI,1
4,2025-01-15,Delhi,57,M,Email,10.0,14886.2,1488.6200000000001,2026-03-05,2025-02-10,3.0,27.0,388.0,0.3,0.7712082262210798,8.0,UPI,0
5,2024-12-12,Jaipur,19,F,Email,34.0,112370.11,3305.0032352941175,2026-03-26,2025-01-03,12.0,6.0,447.0,0.35294117647058826,2.276785714285714,8.0,Card,0
6,2024-08-04,Mumbai,19,M,Organic,0.0,0.0,0.0,,,,605.0,,0.0,0.0,0.0,None,1
7,2024-06-08,Delhi,29,M,Referral,30.0,51187.8,1706.26,2026-03-24,2024-06-18,11.0,8.0,644.0,0.36666666666666664,1.3953488372093024,8.0,Card,0
9,2024-05-15,Patna,59,M,Organic,4.0,5401.97,1350.4925,2025-02-22,2024-05-30,1.0,403.0,268.0,0.25,0.44609665427509293,7.0,UPI,1
10,2025-10-17,Patna,32,F,Paid Ads,0.0,0.0,0.0,,,,166.0,,0.0,0.0,0.0,None,1
11,2024-02-19,Chennai,61,F,Paid Ads,0.0,0.0,0.0,,,,772.0,,0.0,0.0,0.0,None,1
12,2024-02-16,Jaipur,20,F,Social Media,10.0,8787.25,878.725,2025-09-01,2024-04-29,5.0,212.0,490.0,0.5,0.6109979633401222,8.0,Card,1
13,2024-05-25,Mumbai,26,M,Organic,3.0,2947.71,982.57,2024-09-06,2024-07-28,2.0,572.0,40.0,0.6666666666666666,2.195121951219512,6.0,UPI,1
14,2024-12-05,Kolkata,31,F,Email,0.0,0.0,0.0,,,,482.0,,0.0,0.0,0.0,None,1
15,2024-12-27,Hyderabad,19,M,Referral,1.0,1433.66,1433.66,2025-01-23,2025-01-23,0.0,433.0,0.0,0.0,30.0,3.0,UPI,1
16,2026-02-24,Chennai,24,F,Referral,1.0,1084.96,1084.96,2026-03-16,2026-03-16,0.0,16.0,0.0,0.0,30.0,3.0,Card,1
17,2024-02-11,Delhi,52,M,Social Media,0.0,0.0,0.0,,,,780.0,,0.0,0.0,0.0,None,1
19,2024-11-04,Pune,59,F,Referral,20.0,33656.16,1682.8080000000002,2026-03-26,2024-11-07,6.0,6.0,504.0,0.3,1.188118811881188,8.0,Card,0
21,2025-10-13,Mumbai,53,F,Referral,0.0,0.0,0.0,,,,170.0,,0.0,0.0,0.0,None,1
22,2024-12-08,Patna,25,M,Referral,0.0,0.0,0.0,,,,479.0,,0.0,0.0,0.0,None,1
23,2025-11-28,Kolkata,57,M,Email,3.0,5422.48,1807.493333333333,2026-01-31,2025-12-10,2.0,60.0,52.0,0.6666666666666666,1.6981132075471699,4.0,Card,0
24,2025-03-08,Patna,64,F,Email,5.0,4134.2,826.8399999999999,2026-01-13,2025-03-22,2.0,78.0,297.0,0.4,0.5033557046979866,8.0,UPI,1
25,2024-01-11,Jaipur,62,F,Organic,5.0,9759.39,1951.878,2024-07-26,2024-02-24,2.0,614.0,153.0,0.4,0.9740259740259739,7.0,COD,1
26,2024-09-05,Jaipur,18,M,Organic,6.0,5353.51,892.2516666666667,2025-07-14,2024-12-17,1.0,261.0,209.0,0.16666666666666666,0.8571428571428571,5.0,UPI,1
27,2025-10-18,Delhi,18,M,Organic,6.0,6414.4400000000005,1069.0733333333335,2026-03-18,2025-10-25,2.0,14.0,144.0,0.3333333333333333,1.2413793103448276,8.0,UPI,0
28,2025-06-12,Chennai,28,F,Organic,26.0,79539.01,3059.192692307692,2026-03-28,2025-06-17,5.0,4.0,284.0,0.19230769230769232,2.736842105263158,8.0,UPI,0
29,2025-03-07,Delhi,52,M,Email,1.0,1283.19,1283.19,2025-03-30,2025-03-30,1.0,367.0,0.0,1.0,30.0,1.0,Card,1
30,2024-08-29,Delhi,56,F,Referral,37.0,122668.27,3315.358648648649,2025-09-27,2024-09-10,10.0,186.0,382.0,0.2702702702702703,2.898172323759791,8.0,UPI,1
31,2024-11-30,Hyderabad,26,F,Referral,0.0,0.0,0.0,,,,487.0,,0.0,0.0,0.0,None,1
32,2025-06-06,Pune,40,M,Referral,2.0,2870.61,1435.305,2025-07-01,2025-06-22,0.0,274.0,9.0,0.0,6.0,5.0,UPI,1
33,2024-06-07,Pune,61,F,Referral,4.0,3902.62,975.655,2024-10-15,2024-07-10,2.0,533.0,97.0,0.5,1.2244897959183672,7.0,UPI,1
34,2024-05-24,Chennai,18,F,Paid Ads,1.0,1052.52,1052.52,2024-06-10,2024-06-10,0.0,660.0,0.0,0.0,30.0,1.0,Wallet,1
35,2025-08-13,Delhi,20,M,Email,0.0,0.0,0.0,,,,231.0,,0.0,0.0,0.0,None,1
36,2024-05-30,Patna,31,M,Paid Ads,3.0,1720.26,573.42,2025-06-17,2024-12-06,1.0,288.0,193.0,0.3333333333333333,0.4639175257731959,4.0,UPI,1
37,2025-07-11,Bangalore,32,F,Organic,3.0,5793.4400000000005,1931.1466666666668,2025-11-25,2025-08-07,2.0,127.0,110.0,0.6666666666666666,0.8108108108108109,7.0,UPI,1
38,2025-06-18,Kolkata,49,F,Referral,15.0,23851.95,1590.13,2026-03-26,2025-07-14,2.0,6.0,255.0,0.13333333333333333,1.7578125,8.0,Card,0
39,2025-02-14,Patna,49,M,Referral,15.0,24967.24,1664.4826666666668,2026-03-06,2025-02-25,5.0,26.0,374.0,0.3333333333333333,1.2,8.0,UPI,0
40,2024-03-08,Pune,56,M,Paid Ads,21.0,32767.73,1560.3680952380953,2026-04-01,2024-05-01,8.0,0.0,700.0,0.38095238095238093,0.8987161198288159,8.0,Card,1
41,2025-12-14,Chennai,53,M,Social Media,2.0,1732.47,866.235,2026-03-15,2026-01-02,1.0,17.0,72.0,0.5,0.821917808219178,4.0,UPI,0
43,2024-07-12,Hyderabad,23,M,Paid Ads,3.0,2218.6,739.5333333333333,2024-10-24,2024-10-11,2.0,524.0,13.0,0.6666666666666666,6.428571428571428,4.0,UPI,1
44,2025-08-11,Chennai,37,F,Social Media,2.0,3179.9300000000003,1589.9650000000001,2025-11-04,2025-09-29,1.0,148.0,36.0,0.5,1.6216216216216217,3.0,Card,1
45,2024-05-02,Chennai,45,F,Paid Ads,22.0,35746.48,1624.8400000000001,2026-03-06,2024-05-24,4.0,26.0,651.0,0.18181818181818182,1.0122699386503067,8.0,UPI,0
47,2025-03-31,Bangalore,30,F,Social Media,0.0,0.0,0.0,,,,366.0,,0.0,0.0,0.0,None,1
48,2025-07-15,Bangalore,25,M,Paid Ads,19.0,58504.71,3079.1952631578947,2026-03-21,2025-07-16,8.0,11.0,248.0,0.42105263157894735,2.289156626506024,8.0,UPI,0
49,2024-10-25,Patna,50,F,Organic,12.0,20091.18,1674.265,2025-08-12,2024-11-26,4.0,232.0,259.0,0.3333333333333333,1.3846153846153846,8.0,UPI,1
50,2024-04-18,Jaipur,32,F,Organic,16.0,27335.18,1708.44875,2025-03-11,2024-04-29,6.0,386.0,316.0,0.375,1.5141955835962144,8.0,UPI,1
51,2024-03-12,Jaipur,41,F,Email,1.0,1702.31,1702.31,2024-03-26,2024-03-26,0.0,736.0,0.0,0.0,30.0,1.0,UPI,1
52,2024-12-20,Pune,29,M,Organic,11.0,17849.28,1622.661818181818,2025-08-02,2025-01-25,5.0,242.0,189.0,0.45454545454545453,1.736842105263158,8.0,Card,1
53,2025-03-25,Bangalore,54,F,Organic,9.0,14749.07,1638.7855555555554,2026-02-15,2025-04-01,3.0,45.0,320.0,0.3333333333333333,0.8411214953271028,8.0,Card,0
54,2024-05-03,Delhi,19,M,Paid Ads,44.0,150667.06,3424.2513636363637,2026-04-01,2024-06-05,19.0,0.0,665.0,0.4318181818181818,1.981981981981982,8.0,Card,0
55,2024-12-27,Delhi,54,M,Paid Ads,48.0,159434.35,3321.5489583333333,2026-03-31,2025-01-02,16.0,1.0,453.0,0.3333333333333333,3.1718061674008813,8.0,UPI,0
56,2024-06-05,Bangalore,19,F,Paid Ads,0.0,0.0,0.0,,,,665.0,,0.0,0.0,0.0,None,1
57,2025-08-13,Jaipur,23,M,Organic,0.0,0.0,0.0,,,,231.0,,0.0,0.0,0.0,None,1
58,2025-03-07,Kolkata,28,F,Paid Ads,6.0,6197.969999999999,1032.995,2025-08-23,2025-04-28,1.0,221.0,117.0,0.16666666666666666,1.5254237288135595,7.0,UPI,1
59,2025-12-05,Jaipur,55,F,Paid Ads,3.0,4599.63,1533.21,2026-02-18,2025-12-23,0.0,42.0,57.0,0.0,1.5517241379310345,7.0,Card,1
60,2025-07-20,Patna,23,F,Paid Ads,2.0,1985.79,992.895,2025-09-22,2025-09-02,2.0,191.0,20.0,1.0,2.8571428571428568,4.0,Card,1
61,2024-09-09,Patna,33,M,Email,0.0,0.0,0.0,,,,569.0,,0.0,0.0,0.0,None,1
62,2025-07-29,Delhi,23,F,Referral,7.0,11560.609999999999,1651.515714285714,2026-01-12,2025-07-30,2.0,79.0,166.0,0.2857142857142857,1.2574850299401197,6.0,UPI,1
63,2025-07-05,Pune,53,M,Organic,0.0,0.0,0.0,,,,270.0,,0.0,0.0,0.0,None,1
64,2024-11-21,Hyderabad,36,F,Paid Ads,16.0,21848.41,1365.525625,2026-03-31,2024-12-02,6.0,1.0,484.0,0.375,0.9896907216494846,8.0,UPI,0
65,2025-02-18,Bangalore,58,F,Referral,32.0,107752.7,3367.271875,2026-03-24,2025-02-28,8.0,8.0,389.0,0.25,2.4615384615384617,8.0,UPI,0
66,2024-04-20,Mumbai,35,F,Email,13.0,20566.21,1582.0161538461539,2025-10-27,2024-04-20,4.0,156.0,555.0,0.3076923076923077,0.7014388489208633,8.0,Card,1
67,2024-09-22,Patna,42,M,Organic,2.0,1822.25,911.125,2025-02-25,2025-02-04,1.0,400.0,21.0,0.5,2.7272727272727275,5.0,Card,1
